,Chapter,Verse,Word
0,1.0,1.0,In
1,1.0,1.0,the
2,1.0,1.0,name
3,1.0,1.0,of
4,1.0,1.0,God
5,1.0,1.0,the
6,1.0,1.0,Gracious
7,1.0,1.0,the
8,1.0,1.0,Merciful
9,1.0,1.0,
10,1.0,2.0,Praise
11,1.0,2.0,be
12,1.0,2.0,to
13,1.0,2.0,God
14,1.0,2.0,Lord
15,1.0,2.0,of
16,1.0,2.0,the
17,1.0,2.0,Worlds
18,1.0,2.0,
19,1.0,3.0,The
20,1.0,3.0,Most
21,1.0,3.0,Gracious
22,1.0,3.0,the
23,1.0,3.0,Most
24,1.0,3.0,Merciful
25,1.0,3.0,
26,1.0,4.0,Master
27,1.0,4.0,of
28,1.0,4.0,the
29,1.0,4.0,Day
30,1.0,4.0,of
31,1.0,4.0,Judgment
32,1.0,4.0,
33,1.0,5.0,It
34,1.0,5.0,is
35,1.0,5.0,You
36,1.0,5.0,we
37,1.0,5.0,worship
38,1.0,5.0,and
39,1.0,5.0,upon
40,1.0,5.0,You
41,1.0,5.0,we
42,1.0,5.0,call
43,1.0,5.0,for
44,1.0,5.0,help
45,1.0,5.0,
46,1.0,6.0,Guide
47,1.0,6.0,us
48,1.0,6.0,to
49,1.0,6.0,the
50,1.0,6.0,straight
51,1.0,6.0,path
52,1.0,6.0,
53,1.0,7.0,The
54,1.0,7.0,path
55,1.0,7.0,of
56,1.0,7.0,those
57,1.0,7.0,You
58,1.0,7.0,have
59,1.0,7.0,blessed
60,1.0,7.0,not
61,1.0,7.0,of
62,1.0,7.0,those
63,1.0,7.0,against
64,1.0,7.0,whom
65,1.0,7.0,there
66,1.0,7.0,is
67,1.0,7.0,anger
68,1.0,7.0,nor
69,1.0,7.0,of
70,1.0,7.0,those
71,1.0,7.0,who
72,1.0,7.0,are
73,1.0,7.0,misguided
74,2.0,1.0,In
75,2.0,1.0,the
76,2.0,1.0,name
77,2.0,1.0,of
78,2.0,1.0,God
79,2.0,1.0,the
80,2.0,1.0,Gracious
81,2.0,1.0,the
82,2.0,1.0,Merciful
83,2.0,1.0,
84,2.0,2.0,Alif
85,2.0,2.0,Lam
86,2.0,2.0,Meem
87,2.0,2.0,
88,2.0,3.0,This
89,2.0,3.0,is
90,2.0,3.0,the
91,2.0,3.0,Book
92,2.0,3.0,in
93,2.0,3.0,which
94,2.0,3.0,there
95,2.0,3.0,is
96,2.0,3.0,no
97,2.0,3.0,doubt
98,2.0,3.0,a
99,2.0,3.0,guide
100,2.0,3.0,for
101,2.0,3.0,the
102,2.0,3.0,righteous
103,2.0,3.0,
104,2.0,4.0,Those
105,2.0,4.0,who
106,2.0,4.0,believe
107,2.0,4.0,in
108,2.0,4.0,the
109,2.0,4.0,unseen
110,2.0,4.0,and
111,2.0,4.0,perform
112,2.0,4.0,the
113,2.0,4.0,prayers
114,2.0,4.0,and
115,2.0,4.0,give
116,2.0,4.0,from
117,2.0,4.0,what
118,2.0,4.0,We
119,2.0,4.0,have
120,2.0,4.0,provided
121,2.0,4.0,for
122,2.0,4.0,them
123,2.0,4.0,
124,2.0,5.0,And
125,2.0,5.0,those
126,2.0,5.0,who
127,2.0,5.0,believe
128,2.0,5.0,in
129,2.0,5.0,what
130,2.0,5.0,was
131,2.0,5.0,revealed
132,2.0,5.0,to
133,2.0,5.0,you
134,2.0,5.0,and
135,2.0,5.0,in
136,2.0,5.0,what
137,2.0,5.0,was
138,2.0,5.0,revealed
139,2.0,5.0,before
140,2.0,5.0,you
141,2.0,5.0,and
142,2.0,5.0,are
143,2.0,5.0,certain
144,2.0,5.0,of
145,2.0,5.0,the
146,2.0,5.0,Hereafter
147,2.0,5.0,
148,2.0,6.0,These
149,2.0,6.0,are
150,2.0,6.0,upon
151,2.0,6.0,guidance
152,2.0,6.0,from
153,2.0,6.0,their
154,2.0,6.0,Lord
155,2.0,6.0,These
156,2.0,6.0,are
157,2.0,6.0,the
158,2.0,6.0,successful
159,2.0,6.0,
160,2.0,7.0,As
161,2.0,7.0,for
162,2.0,7.0,those
163,2.0,7.0,who
164,2.0,7.0,disbelieveit
165,2.0,7.0,is
166,2.0,7.0,the
167,2.0,7.0,same
168,2.0,7.0,for
169,2.0,7.0,them
170,2.0,7.0,whether
171,2.0,7.0,you
172,2.0,7.0,have
173,2.0,7.0,warned
174,2.0,7.0,them
175,2.0,7.0,or
176,2.0,7.0,have
177,2.0,7.0,not
178,2.0,7.0,warned
179,2.0,7.0,themthey
180,2.0,7.0,do
181,2.0,7.0,not
182,2.0,7.0,believe
183,2.0,7.0,
184,2.0,8.0,God
185,2.0,8.0,has
186,2.0,8.0,set
187,2.0,8.0,a
188,2.0,8.0,seal
189,2.0,8.0,on
190,2.0,8.0,their
191,2.0,8.0,hearts
192,2.0,8.0,and
193,2.0,8.0,on
194,2.0,8.0,their
195,2.0,8.0,hearing
196,2.0,8.0,and
197,2.0,8.0,over
198,2.0,8.0,their
199,2.0,8.0,vision
200,2.0,8.0,is
201,2.0,8.0,a
202,2.0,8.0,veil
203,2.0,8.0,They
204,2.0,8.0,will
205,2.0,8.0,have
206,2.0,8.0,a
207,2.0,8.0,severe
208,2.0,8.0,torment
209,2.0,8.0,
210,2.0,9.0,Among
211,2.0,9.0,the
212,2.0,9.0,people
213,2.0,9.0,are
214,2.0,9.0,those
215,2.0,9.0,who
216,2.0,9.0,say
217,2.0,9.0,We
218,2.0,9.0,believe
219,2.0,9.0,in
220,2.0,9.0,God
221,2.0,9.0,and
222,2.0,9.0,in
223,2.0,9.0,the
224,2.0,9.0,Last
225,2.0,9.0,Day
226,2.0,9.0,but
227,2.0,9.0,they
228,2.0,9.0,are
229,2.0,9.0,not
230,2.0,9.0,believers
231,2.0,9.0,
232,2.0,10.0,They
233,2.0,10.0,seek
234,2.0,10.0,to
235,2.0,10.0,deceive
236,2.0,10.0,God
237,2.0,10.0,and
238,2.0,10.0,those
239,2.0,10.0,who
240,2.0,10.0,believe
241,2.0,10.0,but
242,2.0,10.0,they
243,2.0,10.0,deceive
244,2.0,10.0,none
245,2.0,10.0,but
246,2.0,10.0,themselves
247,2.0,10.0,though
248,2.0,10.0,they
249,2.0,10.0,are
250,2.0,10.0,not
251,2.0,10.0,aware
252,2.0,10.0,
253,2.0,11.0,In
254,2.0,11.0,their
255,2.0,11.0,hearts
256,2.0,11.0,is
257,2.0,11.0,sickness
258,2.0,11.0,and
259,2.0,11.0,God
260,2.0,11.0,has
261,2.0,11.0,increased
262,2.0,11.0,their
263,2.0,11.0,sickness
264,2.0,11.0,They
265,2.0,11.0,will
266,2.0,11.0,have
267,2.0,11.0,a
268,2.0,11.0,painful
