"","Date","NationalPopulation"
"1","July 1, 1999","272,690,813"
"2","July 1, 1998","270,248,003"
"3","July 1, 1997","267,783,607"
"4","July 1, 1996","265,228,572"
"5","July 1, 1995","262,803,276"
"6","July 1, 1994","260,327,021"
"7","July 1, 1993","257,782,608"
"8","July 1, 1992","255,029,699"
"9","July 1, 1991","252,153,092"
"10","July 1, 1990","249,464,396"
"11","July 1, 1989","246,819,230"
"12","July 1, 1988","244,498,982"
"13","July 1, 1987","242,288,918"
"14","July 1, 1986","240,132,887"
"15","July 1, 1985","237,923,795"
"16","July 1, 1984","235,824,902"
"17","July 1, 1983","233,791,994"
"18","July 1, 1982","231,664,458"
"19","July 1, 1981","229,465,714"
"20","July 1, 1980","227,224,681"
"21","July 1, 1979","225,055,487"
"22","July 1, 1978","222,584,545"
"23","July 1, 1977","220,239,425"
"24","July 1, 1976","218,035,164"
"25","July 1, 1975","215,973,199"
"26","July 1, 1974","213,853,928"
"27","July 1, 1973","211,908,788"
"28","July 1, 1972","209,896,021"
"29","July 1, 1971","207,660,677"
"30","July 1, 1970","205,052,174"
"31","July 1, 1969","202,676,946"
"32","July 1, 1968","200,706,052"
"33","July 1, 1967","198,712,056"
"34","July 1, 1966","196,560,338"
"35","July 1, 1965","194,302,963"
"36","July 1, 1964","191,888,791"
"37","July 1, 1963","189,241,798"
"38","July 1, 1962","186,537,737"
"39","July 1, 1961","183,691,481"
"40","July 1, 1960","180,671,158"
"41","July 1, 1959","177,829,628"
"42","July 1, 1958","174,881,904"
"43","July 1, 1957","171,984,130"
"44","July 1, 1956","168,903,031"
"45","July 1, 1955","165,931,202"
"46","July 1, 1954","163,025,854"
"47","July 1, 1953","160,184,192"
"48","July 1, 1952","157,552,740"
"49","July 1, 1951","154,877,889"
"50","July 1, 1950","152,271,417"
"51","July 1, 1949","149,188,130"
"52","July 1, 1948","146,631,302"
"53","July 1, 1947","144,126,071"
"54","July 1, 1946","141,388,566"
"55","July 1, 1945","139,928,165"
"56","July 1, 1944","138,397,345"
"57","July 1, 1943","136,739,353"
"58","July 1, 1942","134,859,553"
"59","July 1, 1941","133,402,471"
"60","July 1, 1940","132,122,446"
"61","July 1, 1939","130,879,718"
"62","July 1, 1938","129,824,939"
"63","July 1, 1937","128,824,829"
"64","July 1, 1936","128,053,180"
"65","July 1, 1935","127,250,232"
"66","July 1, 1934","126,373,773"
"67","July 1, 1933","125,578,763"
"68","July 1, 1932","124,840,471"
"69","July 1, 1931","124,039,648"
"70","July 1, 1930","123,076,741"
"71","July 1, 1929","121,767,000"
"72","July 1, 1928","120,509,000"
"73","July 1, 1927","119,035,000"
"74","July 1, 1926","117,397,000"
"75","July 1, 1925","115,829,000"
"76","July 1, 1924","114,109,000"
"77","July 1, 1923","111,947,000"
"78","July 1, 1922","110,049,000"
"79","July 1, 1921","108,538,000"
"80","July 1, 1920","106,461,000"
"81","July 1, 1919","104,514,000"
"82","July 1, 1918","103,208,000"
"83","July 1, 1917","103,268,000"
"84","July 1, 1916","101,961,000"
"85","July 1, 1915","100,546,000"
"86","July 1, 1914","99,111,000"
"87","July 1, 1913","97,225,000"
"88","July 1, 1912","95,335,000"
"89","July 1, 1911","93,863,000"
"90","July 1, 1910","92,407,000"
"91","July 1, 1909","90,490,000"
"92","July 1, 1908","88,710,000"
"93","July 1, 1907","87,008,000"
"94","July 1, 1906","85,450,000"
"95","July 1, 1905","83,822,000"
"96","July 1, 1904","82,166,000"
"97","July 1, 1903","80,632,000"
"98","July 1, 1902","79,163,000"
"99","July 1, 1901","77,584,000"
"100","July 1, 1900","76,094,000"
"101","July 1, 2000","282162411"
"102","July 1, 2001","284968955"
"103","July 1, 2002","287625193"
"104","July 1, 2003","290107933"
"105","July 1, 2004","292805298"
"106","July 1, 2005","295516599"
"107","July 1, 2006","298379912"
"108","July 1, 2007","301231207"
"109","July 1, 2008","304093966"
"110","July 1, 2009","306771529"
"111","July 1, 2010","309349689"
"112","July 1, 2011","311,718,857"
"113","July 1, 2012","314,102,623"
"114","July 1, 2013","316,427,395"
"115","July 1, 2014","318,907,401"
"116","July 1, 2015","321,418,820"
"117","July 1, 2016","323,889,854"
