Year and Month,Resident Population,Resident Population Plus Armed Forces Overseas,Civilian Population,Civilian Noninstitutionalized Population,Household Population
4/1/2010,"308,758,105","309,191,211","307,528,001","303,527,414","300,759,105"
5/1/2010,"308,951,567","309,375,980","307,716,663","303,716,968","300,945,500"
6/1/2010,"309,139,747","309,562,356","307,907,078","303,908,276","301,126,614"
7/1/2010,"309,346,863","309,766,476","308,111,624","304,113,713","301,326,663"
8/1/2010,"309,572,545","309,988,393","308,344,812","304,347,077","301,550,511"
9/1/2010,"309,811,497","310,216,923","308,574,409","304,576,850","301,787,629"
10/1/2010,"310,048,966","310,450,256","308,815,771","304,818,388","302,023,264"
11/1/2010,"310,245,222","310,655,902","309,022,812","305,025,605","302,217,686"
12/1/2010,"310,430,829","310,851,683","309,218,371","305,221,340","302,401,459"
1/1/2011,"310,632,519","311,040,558","309,415,033","305,418,178","302,601,315"
2/1/2011,"310,798,486","311,203,036","309,572,864","305,576,185","302,765,448"
3/1/2011,"310,948,534","311,364,903","309,734,510","305,738,007","302,913,662"
4/1/2011,"311,136,951","311,545,578","309,912,552","305,916,225","303,100,245"
5/1/2011,"311,322,656","311,726,254","310,096,489","306,100,338","303,284,116"
6/1/2011,"311,501,778","311,920,231","310,286,217","306,290,242","303,461,404"
7/1/2011,"311,718,857","312,135,897","310,501,207","306,505,404","303,676,643"
8/1/2011,"311,935,616","312,351,677","310,719,702","306,725,610","303,892,370"
9/1/2011,"312,177,786","312,582,890","310,954,169","306,961,788","304,133,508"
10/1/2011,"312,397,229","312,805,394","311,186,703","307,196,033","304,351,919"
11/1/2011,"312,595,788","312,998,221","311,379,495","307,390,536","304,549,446"
12/1/2011,"312,796,083","313,185,872","311,571,197","307,583,949","304,748,709"
1/1/2012,"313,003,566","313,366,802","311,768,236","307,782,699","304,955,160"
2/1/2012,"313,158,906","313,530,063","311,931,578","307,947,752","305,109,468"
3/1/2012,"313,347,540","313,697,920","312,106,726","308,124,611","305,297,070"
4/1/2012,"313,527,570","313,873,141","312,285,335","308,304,931","305,476,068"
5/1/2012,"313,700,138","314,044,009","312,463,696","308,485,003","305,647,604"
6/1/2012,"313,896,891","314,238,535","312,660,463","308,683,481","305,843,325"
7/1/2012,"314,102,623","314,439,189","312,862,495","308,887,229","306,048,039"
8/1/2012,"314,333,989","314,662,519","313,087,649","309,114,666","306,280,590"
9/1/2012,"314,581,485","314,898,703","313,324,157","309,353,457","306,529,271"
10/1/2012,"314,810,346","315,117,706","313,548,092","309,579,675","306,759,317"
11/1/2012,"315,020,775","315,329,364","313,765,506","309,799,372","306,970,931"
12/1/2012,"315,211,642","315,520,026","313,961,162","309,997,311","307,162,983"
1/1/2013,"315,388,533","315,688,640","314,143,931","310,182,363","307,341,059"
2/1/2013,"315,526,460","315,830,957","314,284,723","310,325,438","307,480,171"
3/1/2013,"315,681,511","315,984,807","314,436,624","310,479,622","307,636,407"
4/1/2013,"315,857,345","316,152,205","314,605,399","310,650,680","307,813,426"
5/1/2013,"316,014,496","316,329,776","314,782,470","310,830,034","307,971,762"
6/1/2013,"316,227,087","316,528,937","314,980,711","311,030,558","308,185,538"
7/1/2013,"316,427,395","316,728,446","315,184,827","311,236,966","308,387,042"
8/1/2013,"316,653,128","316,965,437","315,421,267","311,473,476","308,610,299"
9/1/2013,"316,901,532","317,206,673","315,664,050","311,716,329","308,856,227"
10/1/2013,"317,142,007","317,438,261","315,900,304","311,952,653","309,094,226"
11/1/2013,"317,378,856","317,659,458","316,127,258","312,179,677","309,328,599"
12/1/2013,"317,575,450","317,858,429","316,331,471","312,383,960","309,522,717"
1/1/2014,"317,780,510","318,056,244","316,540,427","312,592,986","309,725,301"
2/1/2014,"317,944,407","318,212,804","316,697,129","312,749,758","309,886,722"
3/1/2014,"318,106,044","318,380,930","316,867,760","312,920,459","310,045,883"
4/1/2014,"318,284,098","318,562,832","317,052,577","313,105,346","310,221,461"
5/1/2014,"318,482,297","318,754,982","317,247,667","313,300,506","310,417,184"
6/1/2014,"318,694,246","318,969,007","317,462,926","313,515,835","310,626,657"
7/1/2014,"318,907,401","319,183,348","317,681,470","313,734,458","310,837,348"
8/1/2014,"319,156,025","319,423,064","317,928,541","313,982,442","311,085,901"
9/1/2014,"319,405,217","319,667,083","318,181,608","314,236,422","311,335,022"
10/1/2014,"319,643,987","319,901,302","318,425,486","314,481,213","311,573,721"
11/1/2014,"319,875,523","320,125,031","318,656,093","314,712,733","311,805,186"
12/1/2014,"320,086,785","320,326,231","318,863,002","314,920,555","312,016,377"
1/1/2015,"320,289,069","320,526,304","319,071,910","315,130,376","312,218,590"
2/1/2015,"320,440,986","320,683,018","319,233,104","315,292,483","312,370,436"
3/1/2015,"320,611,232","320,851,295","319,401,815","315,462,107","312,540,611"
4/1/2015,"320,796,760","321,033,355","319,587,453","315,648,658","312,726,068"
5/1/2015,"320,990,058","321,225,669","319,784,103","315,846,221","312,919,295"
6/1/2015,"321,202,465","321,439,854","320,009,056","316,072,087","313,131,631"
7/1/2015,"321,418,820","321,654,360","320,222,306","316,286,252","313,347,924"
8/1/2015,"321,658,542","321,894,082","320,462,028","316,525,974","313,587,646"
9/1/2015,"321,902,568","322,138,108","320,706,054","316,770,000","313,831,672"
10/1/2015,"322,136,791","322,372,331","320,940,277","317,004,223","314,065,895"
11/1/2015,"322,360,526","322,596,066","321,164,012","317,227,958","314,289,630"
12/1/2015,"322,561,729","322,797,269","321,365,215","317,429,161","314,490,833"
1/1/2016,"322,761,807","322,997,347","321,565,293","317,629,239","314,690,911"
2/1/2016,"322,918,520","323,154,060","321,722,006","317,785,952","314,847,624"
3/1/2016,"323,086,798","323,322,338","321,890,284","317,954,230","315,015,902"
4/1/2016,"323,268,851","323,504,391","322,072,337","318,136,283","315,197,955"
5/1/2016,"323,461,165","323,696,705","322,264,651","318,328,597","315,390,269"
6/1/2016,"323,675,350","323,910,890","322,478,836","318,542,782","315,604,454"
7/1/2016,"323,889,854","324,125,394","322,693,340","318,757,286","315,818,958"
8/1/2016,"324,129,576","324,365,116","322,933,062","318,997,008","316,058,680"
9/1/2016,"324,373,602","324,609,142","323,177,088","319,241,034","316,302,706"
10/1/2016,"324,607,826","324,843,366","323,411,312","319,475,258","316,536,930"
11/1/2016,"324,831,561","325,067,101","323,635,047","319,698,993","316,760,665"
12/1/2016,"325,032,763","325,268,303","323,836,249","319,900,195","316,961,867"
