"","State","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950census","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960census.x","X1960census.y","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970census","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980.x","X1980.y","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990.x","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990.y","census1990","census2000","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","census2010.x","X2010.x","census2010.y","EstimatesBase","X2010.y","X2011","X2012","X2013","X2014","X2015"
"1","U.S.",76094000,77585000,79160000,80632000,82165000,83820000,85437000,8.7e+07,88709000,90492000,92407000,93868000,95331000,97227000,99118000,100549000,101966000,103266000,103203000,104512000,106466000,108541000,110055000,111950000,114113000,115832000,117399000,119038000,120501000,121770000,123077000,124040000,124840000,125579000,126374000,127250000,128053000,128825000,129825000,130880000,131954000,133121000,133920000,134245000,132885000,132481000,140054000,143446000,146093000,148665000,151326000,151868000,153982000,156393000,158956000,161884000,165069000,168088000,171187000,174149000,177135000,179323000,179323000,179975000,182973000,185738000,188438000,191085000,193460000,195501000,197374000,199312000,201306000,203185000,203302031,206827026,209283905,211357481,213341554,215465255,217562735,219759869,222095080,224567241,226545805,226545805,229465714,231664458,233791994,235824902,237923795,240132887,242288918,244498982,246819230,248709873,272690813,270248003,267783607,265228572,262803276,260327021,257782608,255029699,252153092,249464396,248790925,"281,424,600","282,162,411","284,968,955","287,625,193","290,107,933","292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529","308,745,538","309,349,689","308,745,538","308,758,105","309,346,863","311,718,857","314,102,623","316,427,395","318,907,401","321,418,820"
"2","Northeast",21059000,21401000,21815000,22248000,22716000,23214000,23769000,24320000,24879000,25440000,25958000,26338000,26746000,27224000,27684000,28049000,28427000,28814000,28683000,29335000,29674000,30187000,30619000,31128000,31761000,32274000,32627000,32886000,33464000,34013000,34539000,34868000,35105000,35271000,35433000,35595000,35723000,35798000,35991000,35991000,35975000,35987000,35575000,34881000,34335000,34067000,36594000,37835000,38790000,39551000,39478000,39559000,39644000,40178000,41045000,41823000,42278000,42628000,43095000,43766000,44371000,44678000,44678000,44802000,45384000,45833000,46402000,46953000,47451000,47788000,48106000,48435000,48678000,4.9e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51829962,51685676,51591325,51520274,51443931,51360744,51253425,51078292,50957878,50875639,50828313,"53,594,810","53,666,295","53,915,522","54,143,915","54,334,453","54,423,533","54,451,230","54,522,659","54,653,362","54,875,926","55,133,101","55,317,240","55,361,036","55,317,240","55,318,348","55,387,174","55,638,038","55,835,056","56,019,353","56,171,281","56,283,891"
"3","North Central",26359000,26722000,27126000,27446000,27830000,28203000,28524000,28868000,29187000,29530000,30019000,30385000,30778000,31327000,31914000,32432000,32912000,33245000,33966000,33568000,34373000,35005000,35414000,35971000,36571000,37039000,37461000,37937000,38198000,38447000,38667000,38872000,39053000,39199000,39287000,39454000,39561000,39640000,39735000,39961000,40223000,40334000,40236000,39284000,39006000,38807000,41576000,42597000,43437000,44175000,44461000,44632000,45053000,45673000,46436000,47515000,48511000,49309000,49946000,50572000,51124000,51619000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","South",24565000,25114000,25599000,26055000,26492000,27003000,27475000,27879000,28406000,28963000,29544000,30025000,30457000,31066000,31670000,32051000,32433000,32776000,32975000,32860000,33357000,33947000,34366000,34837000,35383000,35842000,36374000,36972000,37352000,37626000,37920000,38176000,38456000,38780000,39162000,39516000,39812000,40131000,40636000,41250000,41825000,42623000,43269000,43933000,43002000,42594000,44261000,45041000,45414000,45981000,47197000,47347000,48321000,48840000,48927000,49266000,50224000,51151000,52287000,53123000,54077000,54973000,54973000,55174000,56158000,57179000,58008000,58853000,59579000,60205000,60771000,61489000,62190000,62798000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96468455,95348823,94176777,92947197,91777714,90573372,89329642,88101757,86892174,85731747,85455793,"100,234,523","100,565,549","101,849,575","103,150,787","104,380,188","105,883,977","107,479,771","109,076,933","110,688,742","112,184,930","113,548,615","114,555,744","114,865,724","114,555,744","114,562,953","114,862,858","116,080,267","117,331,340","118,487,418","119,795,010","121,182,847"
"5","West",4112000,4351000,4620000,4882000,5127000,5398000,5671000,5934000,6234000,6557000,6885000,7118000,7351000,7610000,7852000,8016000,8194000,8432000,8575000,8747000,9059000,9401000,9655000,10014000,10402000,10674000,10942000,11243000,11486000,11683000,11949000,12122000,12225000,12330000,12490000,12686000,12958000,13253000,13463000,13682000,13931000,14178000,14840000,16147000,16543000,17012000,17623000,17973000,18452000,18958000,20190000,20331000,20964000,21701000,22548000,23278000,24056000,25001000,25859000,26687000,27563000,28053000,28053000,28284000,29246000,30142000,30955000,31624000,32205000,32667000,33207000,33696000,34332000,34809000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61150112,60262972,59340027,58389582,57589711,56820732,56023417,55138551,54085541,53091570,52837499,"63,198,614","63,439,136","64,427,327","65,312,198","66,116,338","66,965,483","67,833,726","68,751,765","69,595,414","70,509,175","71,341,376","71,945,553","72,147,081","71,945,553","71,946,907","72,119,326","72,844,064","73,595,996","74,354,836","75,179,041","76,044,679"
"6","AL",1830000,1907000,1935000,1957000,1978000,2012000,2045000,2058000,2070000,2108000,2150000,2185000,2217000,2279000,2336000,2345000,2359000,2361000,2343000,2337000,2359000,2402000,2434000,2464000,2501000,2534000,2567000,2609000,2640000,2644000,2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000,2845000,2902000,2941000,2902000,2802000,2775000,2911000,2942000,2969000,3e+06,3062000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3267000,3267000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3444000,3444354,3497076,3539400,3579780,3626499,3678814,3735139,3780403,3831836,3866248,3893888,3893888,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4040587,4369862,4351037,4320281,4290403,4262731,4232965,4193114,4139269,4091025,4048508,4040389,"4,447,207","4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938","4,779,736","4,785,298","4,779,736","4,780,127","4,785,161","4,801,108","4,816,089","4,830,533","4,846,411","4,858,979"
"7","AR",1314000,1341000,1360000,1384000,1419000,1447000,1465000,1484000,1513000,1545000,1583000,1610000,1636000,1664000,1688000,1702000,1719000,1737000,1749000,1742000,1756000,1769000,1772000,1784000,1800000,1812000,1826000,1840000,1847000,1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1969000,1977000,1843000,1768000,1762000,1797000,1836000,1825000,1844000,1910000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1786000,1786000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1923000,1923322,1972312,2018638,2059256,2101403,2159526,2170161,2209010,2243127,2271333,2286435,2286435,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2350725,2551373,2538202,2524007,2504858,2480121,2450605,2423743,2394098,2370666,2354343,2350624,"2,673,293","2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,915,918","2,921,606","2,915,918","2,915,958","2,922,394","2,938,538","2,949,499","2,957,957","2,966,835","2,978,204"
"8","AZ",124000,131000,138000,144000,151000,158000,167000,176000,186000,196000,206000,212000,217000,236000,253000,263000,282000,311000,320000,329000,340000,351000,360000,371000,382000,393000,403000,414000,422000,430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,490000,524000,692000,610000,594000,616000,653000,690000,714000,750000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1302000,1302000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1772000,1775399,1895814,2008291,2124438,2223196,2284847,2346157,2425197,2515316,2635571,2718215,2718215,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3665228,4778332,4667277,4552207,4432308,4306908,4147561,3993390,3867333,3762394,3679056,3665339,"5,130,247","5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,392,017","6,413,737","6,392,017","6,392,307","6,408,208","6,468,732","6,553,262","6,630,799","6,728,783","6,828,065"
"9","CA",1490000,1550000,1623000,1702000,1792000,1893000,1976000,2054000,2161000,2282000,2406000,2534000,2668000,2811000,2934000,3008000,3071000,3171000,3262000,3339000,3554000,3795000,3991000,4270000,4541000,4730000,4929000,5147000,5344000,5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7237000,7735000,8506000,8945000,9344000,9559000,9832000,10064000,10337000,10586000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15717000,15717000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,19953000,19971069,20345939,20585469,20868728,21173865,21537849,21935909,22352396,22835958,23256880,23667902,23667902,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29760021,33145121,32682794,32217708,31780829,31493525,31317179,31147208,30875920,30414114,29950111,29811427,"33,871,653","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,253,956","37,349,363","37,253,956","37,254,503","37,334,079","37,700,034","38,056,055","38,414,128","38,792,291","39,144,818"
"10","CO",543000,581000,621000,652000,659000,680000,707000,733000,757000,775000,804000,821000,832000,835000,846000,868000,892000,910000,906000,938000,937000,961000,965000,984000,1014000,1019000,1016000,1028000,1014000,1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1113000,1153000,1137000,1116000,1203000,1237000,1263000,1295000,1325000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1754000,1754000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2207000,2209596,2303524,2404619,2495868,2541406,2586192,2632306,2696140,2766748,2849234,2889964,2889964,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3294394,4056133,3968967,3891293,3812716,3738061,3653910,3560884,3459995,3367567,3303862,3294473,"4,302,086","4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,029,196","5,049,071","5,029,196","5,029,324","5,048,254","5,119,480","5,191,731","5,271,132","5,355,588","5,456,574"
