"","Year","Party","President","VicePresident","ElectoralVote","ElectoralPerc","PopularVote","PopularPerc"
"1",1789," unofficially Federalist","George Washington",NA,"69","100%",NA,NA
"2",1792," unofficially Federalist","George Washington",NA,"132","100%",NA,NA
"3",1796," Federalist","John Adams",NA,"71","51.1%",NA,NA
"4",1796," Democratic-Republican","Thomas Jefferson",NA,"68","48.9%",NA,NA
"5",1800," Democratic-Republican","Thomas Jefferson",NA,"73","52.9%",NA,NA
"6",1800," Federalist","John Adams",NA,"65","47.1%",NA,NA
"7",1804," Democratic-Republican","Thomas Jefferson","George Clinton","162","92.0%",NA,NA
"8",1804," Federalist","Charles Pinckney","Rufus King","14","8.0%",NA,NA
"9",1808," Democratic-Republican","James Madison","George Clinton","122","69.7%",NA,NA
"10",1808," Federalist","Charles Pinckney","Rufus King","47","26.9%",NA,NA
"11",1812," Democratic-Republican","James Madison","Elbridge Gerry","128","58.7%",NA,NA
"12",1812," Federalist","DeWitt Clinton","Jared Ingersoll","89","40.8%",NA,NA
"13",1816," Democratic-Republican","James Monroe","Daniel D. Tompkins","183","83.9%",NA,NA
"14",1816," Federalist","Rufus King","John Howard","34","15.6%",NA,NA
"15",1820," Democratic-Republican","James Monroe","Daniel D. Tompkins","231","98.3%",NA,NA
"16",1820," Independent","John Quincy Adams1","none","1","0.4%",NA,NA
"17",1824," Democratic-Republican","Andrew Jackson","John C. Calhoun","99","37.9%","151,271","41.3%"
"18",1824," Democratic-Republican","John Quincy Adams","John C. Calhoun","84","32.2%","113,122","30.9%"
"19",1824," Democratic-Republican","William H. Crawford","Nathaniel Macon","41","15.7%","40,856","11.2%"
"20",1824," Democratic-Republican","Henry Clay","Nathan Sanford","37","14.2%","47,531"," 13.0%"
"21",1828," Democratic","Andrew Jackson","John C. Calhoun","178","68.2%","642,553","56.1%"
"22",1828," National-Republican","John Quincy Adams","Richard Rush","83","31.8%","500,897","43.6%"
"23",1832," Democratic","Andrew Jackson","Martin Van Buren","219","76.0%","701,780","54.2%"
"24",1832," National-Republican","Henry Clay","John Sergeant","49","17.0%","484,205","37.4%"
"25",1832," Independent","John Floyd","Henry Lee","11","3.8%","0","0%"
"26",1832," Anti-Masonic","William Wirt","Amos Ellmaker","7","2.4%","100,715"," 7.8%"
"27",1836," Democratic","Martin Van Buren","Richard Johnson","170","57.8%","764,176","50.8%"
"28",1836," Whig","William Henry Harrison","Francis P. Granger","73","24.8%","550,816","36.6%"
"29",1836," Whig","Hugh Lawson White","John Tyler","26","8.8%","146,107"," 9.7%"
"30",1836," Whig","Daniel Webster","Francis P. Granger","14","4.8%","41,201","2.7%"
"31",1836," Whig","Willie Person Mangum","John Tyler","11","3.7%","0","0%"
"32",1840," Whig","William Henry Harrison","John Tyler","234","79.6%","1,275,390","52.9%"
"33",1840," Democratic","Martin Van Buren","Richard Johnson","60","20.4%","1,128,854","46.8%"
"34",1844," Democratic","James K. Polk","George M. Dallas","170","61.8%","1,339,494","49.5%"
"35",1844," Whig","Henry Clay","Theodore Frelinghuysen","105","38.2%","1,300,004","48.1%"
"36",1848," Whig","Zachary Taylor","Millard Fillmore","163","56.2%","1,361,393","47.3%"
"37",1848," Democratic","Lewis Cass","William Butler","127","43.8%","1,223,460","42.5%"
"38",1848," Free Soil","Martin Van Buren","Charles Adams, Sr.","0","0%","291,501"," 10.1%"
