"","Year","State","TotalVotes","Candidate1Votes","Candidate1%","Candidate1EV","Candidate2Votes","Candidate2%","Candidate2EV","Candidate3Votes","Candidate3%","Candidate3EV","Candidate4Votes","Candidate4%","Candidate4EV"
"4",1824,"Alabama","13,603","2,422","17.8","Â","9,429","69.3","5","96","0.7","Â","1,656","12.2","Â"
"5",1824,"Connecticut","10,647","7,494","70.4","8","Â","Â","Â","Â","Â","Â","1,965","18.5","Â"
"6",1824,"Delaware","3 electors chosen by  state legislature: 2 for Crawford; 1 for Adams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1824,"Georgia","9 electors chosen by  state legislature and awarded to William Crawford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1824,"Illinois","4,671","1,516","32.5","1","1,272","27.2","2","1,036","22.2","Â","847","18.1","Â"
"9",1824,"Indiana","15,838","3,071","19.4","Â","7,444","47.0","5","5,316","33.6","Â","Â","Â","Â"
"10",1824,"Kentucky","23,338","Â","Â","Â","6,356","27.2","Â","16,982","72.8","14","Â","Â","Â"
"11",1824,"Louisiana","5 electors chosen by  state legislature: 3 for Jackson; 2 for Adams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1824,"Maine","12,625","10,289","81.5","9","Â","Â","Â","Â","Â","Â","2,336","18.5","Â"
"13",1824,"Maryland","33,214","14,632","44.1","3","14,523","43.7","7","695","2.1","Â","3,364","10.1","1"
"14",1824,"Massachusetts","42,056","30,687","73.0","15","Â","Â","Â","Â","Â","Â","Â","Â","Â"
"15",1824,"Mississippi","4,894","1,654","33.8","Â","3,121","63.8","3","Â","Â","Â","119","2.4","Â"
"16",1824,"Missouri","3,432","159","4.6","Â","1,166","34.0","Â","2,042","59.5","3","32","0.9","Â"
"17",1824,"New Hampshire","10,032","9,389","93.6","8","Â","Â","Â","Â","Â","Â","643","6.4","Â"
"18",1824,"New Jersey","19,837","8,309","41.9","Â","10,332","52.1","8","Â","Â","Â","1,196","6.0","Â"
"19",1824,"New York","36 electors chosen by  state legislature:
    26 to Adams; 1 to Jackson; 4 to Clay; 5 to Crawford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1824,"North Carolina","36,109","Â","Â","Â","20,231","56.0","15","Â","Â","Â","15,622","43.3","Â"
"21",1824,"Ohio","50,024","12,280","24.5","Â","18,489","37.0","Â","19,255","38.5","16","Â","Â","Â"
"22",1824,"Pennsylvania","47,073","5,441","11.6","Â","35,736","75.9","28","1,690","3.6","Â","4,206","8.9","Â"
