MSN,YYYYMM,Year,Month,Value,Column_Order,Description,Unit
FFPRBUS,194913,1949,13,28.748176,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195013,1950,13,32.562667,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195113,1951,13,35.792151,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195213,1952,13,34.976732,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195313,1953,13,35.349336,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195413,1954,13,33.76433,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195513,1955,13,37.36368,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195613,1956,13,39.771452,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195713,1957,13,40.133484,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195813,1958,13,37.216322,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,195913,1959,13,39.045216,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196013,1960,13,39.869117,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196113,1961,13,40.307136,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196213,1962,13,41.731885,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196313,1963,13,44.037181,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196413,1964,13,45.788951,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196513,1965,13,47.234902,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196613,1966,13,50.035367,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196713,1967,13,52.597132,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196813,1968,13,54.306187,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,196913,1969,13,56.285569,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197013,1970,13,59.186071,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197113,1971,13,58.04156,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197213,1972,13,58.937904,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197301,1973,01,4.935444,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197302,1973,02,4.73222,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197303,1973,03,4.949805,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197304,1973,04,4.719106,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197305,1973,05,4.959906,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197306,1973,06,4.718893,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197307,1973,07,4.751184,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197308,1973,08,5.044923,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197309,1973,09,4.734325,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197310,1973,10,5.001261,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197311,1973,11,4.813377,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197312,1973,12,4.88309,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197313,1973,13,58.241491,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197401,1974,01,4.96415,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197402,1974,02,4.572698,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197403,1974,03,4.884448,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197404,1974,04,4.778158,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197405,1974,05,4.969686,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197406,1974,06,4.560035,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197407,1974,07,4.719273,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197408,1974,08,4.739199,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197409,1974,09,4.617056,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197410,1974,10,4.903137,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197411,1974,11,4.184237,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197412,1974,12,4.438649,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197413,1974,13,56.330758,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197501,1975,01,4.73472,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197502,1975,02,4.38436,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197503,1975,03,4.646714,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197504,1975,04,4.536958,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197505,1975,05,4.647588,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197506,1975,06,4.556759,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197507,1975,07,4.39945,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197508,1975,08,4.521966,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197509,1975,09,4.489492,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197510,1975,10,4.703388,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197511,1975,11,4.46486,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197512,1975,12,4.64663,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197513,1975,13,54.733273,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197601,1976,01,4.597813,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197602,1976,02,4.419626,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197603,1976,03,4.756734,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197604,1976,04,4.5463,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197605,1976,05,4.625674,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197606,1976,06,4.578689,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197607,1976,07,4.317014,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197608,1976,08,4.49077,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197609,1976,09,4.53411,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197610,1976,10,4.604193,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197611,1976,11,4.550577,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197612,1976,12,4.702057,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197613,1976,13,54.722896,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197701,1977,01,4.319848,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197702,1977,02,4.255386,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197703,1977,03,4.891736,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197704,1977,04,4.600686,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197705,1977,05,4.725836,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197706,1977,06,4.648559,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197707,1977,07,4.420615,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197708,1977,08,4.61101,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197709,1977,09,4.806414,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197710,1977,10,4.873842,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197711,1977,11,4.824784,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197712,1977,12,4.125231,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197713,1977,13,55.100782,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197801,1978,01,3.919647,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197802,1978,02,3.679389,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197803,1978,03,4.356119,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197804,1978,04,4.709545,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197805,1978,05,4.962872,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197806,1978,06,4.79991,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197807,1978,07,4.636188,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197808,1978,08,4.845446,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197809,1978,09,4.567841,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197810,1978,10,4.962741,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197811,1978,11,4.859872,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197812,1978,12,4.774648,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197813,1978,13,55.074118,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197901,1979,01,4.746838,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197902,1979,02,4.41251,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197903,1979,03,4.957008,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197904,1979,04,4.775156,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197905,1979,05,4.981794,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197906,1979,06,4.852146,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197907,1979,07,4.528556,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197908,1979,08,4.994172,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197909,1979,09,4.721937,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197910,1979,10,5.183567,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197911,1979,11,4.952196,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197912,1979,12,4.900327,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,197913,1979,13,58.005609,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198001,1980,01,5.116325,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198002,1980,02,4.806989,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198003,1980,03,5.15037,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198004,1980,04,4.911688,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198005,1980,05,5.013366,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198006,1980,06,4.835417,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198007,1980,07,4.689753,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198008,1980,08,4.784789,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198009,1980,09,4.777806,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198010,1980,10,4.964534,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198011,1980,11,4.83074,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198012,1980,12,5.127001,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198013,1980,13,59.007873,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198101,1981,01,4.936871,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198102,1981,02,4.714113,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198103,1981,03,5.205427,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198104,1981,04,4.138556,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198105,1981,05,4.24867,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198106,1981,06,4.675861,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198107,1981,07,5.010459,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198108,1981,08,5.180611,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198109,1981,09,5.067105,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198110,1981,10,5.257536,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198111,1981,11,4.957487,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198112,1981,12,5.136365,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198113,1981,13,58.529329,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198201,1982,01,4.922012,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198202,1982,02,4.732055,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198203,1982,03,5.270968,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198204,1982,04,4.874032,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198205,1982,05,4.8601,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198206,1982,06,4.763409,1,Total Fossil Fuels Production,Quadrillion Btu
